tick,ts,sysCpuPct,availMB
1,2026-09-04T23:03:43,9.94,28385
2,2026-09-04T23:03:44,10.56,28376
3,2026-09-04T23:03:45,9.6,28372
4,2026-09-04T23:03:46,17.2,28378
5,2026-09-04T23:03:47,9.25,28416
6,2026-09-04T23:03:48,6.94,28399
7,2026-09-04T23:03:49,8.41,28413
8,2026-09-04T23:03:50,8.49,28410
9,2026-09-04T23:03:51,9.39,28416
10,2026-09-04T23:03:52,11.47,28394
11,2026-09-04T23:03:53,11.43,28411
12,2026-09-04T23:03:54,9.83,28410
13,2026-09-04T23:03:55,10.55,28417
14,2026-09-04T23:03:56,10.91,28422
15,2026-09-04T23:03:57,14.36,28425
16,2026-09-04T23:03:58,10.82,28414
17,2026-09-04T23:03:59,11.15,28411
18,2026-09-04T23:04:00,13.01,28413
19,2026-09-04T23:04:01,11.22,28414
20,2026-09-04T23:04:02,8.76,28426
21,2026-09-04T23:04:03,13.45,28420
22,2026-09-04T23:04:04,11.29,28421
23,2026-09-04T23:04:05,15.44,28404
24,2026-09-04T23:04:06,11.84,28409
25,2026-09-04T23:04:07,7.6,28409
26,2026-09-04T23:04:08,6.91,28401
27,2026-09-04T23:04:09,8.54,28415
28,2026-09-04T23:04:10,9.4,28422
29,2026-09-04T23:04:11,6.84,28422
30,2026-09-04T23:04:12,9.18,28379
