tick,ts,pid,name,wsMB,privMB,cpuPct,gpuPct
1,2026-09-05T00:10:46.047,18380,wallpaper64.exe,41.9,11.7,0,0
1,2026-09-05T00:10:46.047,0,__TOTAL__,41.9,11.7,0,0
2,2026-09-05T00:10:46.861,18380,wallpaper64.exe,41.9,11.7,0,0
2,2026-09-05T00:10:46.861,0,__TOTAL__,41.9,11.7,0,0
3,2026-09-05T00:10:47.873,18380,wallpaper64.exe,41.9,11.7,0.1,0
3,2026-09-05T00:10:47.873,0,__TOTAL__,41.9,11.7,0.1,0
4,2026-09-05T00:10:48.875,18380,wallpaper64.exe,41.9,11.7,0.1,0
4,2026-09-05T00:10:48.875,0,__TOTAL__,41.9,11.7,0.1,0
5,2026-09-05T00:10:49.903,18380,wallpaper64.exe,41.9,11.7,0,0
5,2026-09-05T00:10:49.903,0,__TOTAL__,41.9,11.7,0,0
6,2026-09-05T00:10:50.883,18380,wallpaper64.exe,41.9,11.7,0,0
6,2026-09-05T00:10:50.883,0,__TOTAL__,41.9,11.7,0,0
7,2026-09-05T00:10:51.889,18380,wallpaper64.exe,41.9,11.7,0,0
7,2026-09-05T00:10:51.889,0,__TOTAL__,41.9,11.7,0,0
8,2026-09-05T00:10:52.889,18380,wallpaper64.exe,41.9,11.7,0,0
8,2026-09-05T00:10:52.889,0,__TOTAL__,41.9,11.7,0,0
9,2026-09-05T00:10:53.889,18380,wallpaper64.exe,41.9,11.7,0,0
9,2026-09-05T00:10:53.889,0,__TOTAL__,41.9,11.7,0,0
10,2026-09-05T00:10:54.904,18380,wallpaper64.exe,41.9,11.7,0,0
10,2026-09-05T00:10:54.904,0,__TOTAL__,41.9,11.7,0,0
11,2026-09-05T00:10:55.903,18380,wallpaper64.exe,41.9,11.7,0,0
11,2026-09-05T00:10:55.903,0,__TOTAL__,41.9,11.7,0,0
12,2026-09-05T00:10:56.910,18380,wallpaper64.exe,41.9,11.7,0,0
12,2026-09-05T00:10:56.910,0,__TOTAL__,41.9,11.7,0,0
13,2026-09-05T00:10:57.911,18380,wallpaper64.exe,41.9,11.7,0.1,0
13,2026-09-05T00:10:57.911,0,__TOTAL__,41.9,11.7,0.1,0
14,2026-09-05T00:10:58.906,18380,wallpaper64.exe,41.9,11.7,0,0
14,2026-09-05T00:10:58.906,0,__TOTAL__,41.9,11.7,0,0
15,2026-09-05T00:10:59.920,18380,wallpaper64.exe,41.9,11.7,0,0
15,2026-09-05T00:10:59.920,0,__TOTAL__,41.9,11.7,0,0
16,2026-09-05T00:11:00.919,18380,wallpaper64.exe,41.9,11.7,0,0
16,2026-09-05T00:11:00.919,0,__TOTAL__,41.9,11.7,0,0
17,2026-09-05T00:11:01.930,18380,wallpaper64.exe,41.9,11.7,0,0
17,2026-09-05T00:11:01.930,0,__TOTAL__,41.9,11.7,0,0
18,2026-09-05T00:11:02.915,18380,wallpaper64.exe,41.9,11.7,0,0
18,2026-09-05T00:11:02.915,0,__TOTAL__,41.9,11.7,0,0
19,2026-09-05T00:11:03.925,18380,wallpaper64.exe,41.9,11.7,0,0
