tick,ts,pid,name,wsMB,privMB,cpuPct,gpuPct
1,2026-09-04T23:25:35.832,29852,vera-media-manager.exe,96.1,27,0,0
1,2026-09-04T23:25:35.832,21952,msedgewebview2.exe,121.8,36,0,0
1,2026-09-04T23:25:35.832,26536,msedgewebview2.exe,12.8,2.8,0,0
1,2026-09-04T23:25:35.832,30520,msedgewebview2.exe,130,133.1,0,2
1,2026-09-04T23:25:35.832,29844,msedgewebview2.exe,38.2,12.1,0,0
1,2026-09-04T23:25:35.832,24024,msedgewebview2.exe,20,8.5,0,0
1,2026-09-04T23:25:35.832,27240,msedgewebview2.exe,126.4,74.9,0,0
1,2026-09-04T23:25:35.832,27924,msedgewebview2.exe,23.9,8.8,0,0
1,2026-09-04T23:25:35.832,0,__TOTAL__,569.2,303.2,0,2
2,2026-09-04T23:25:36.849,29852,vera-media-manager.exe,96.1,27,0,0
2,2026-09-04T23:25:36.849,21952,msedgewebview2.exe,121.9,36.1,0,0
2,2026-09-04T23:25:36.849,26536,msedgewebview2.exe,12.7,2.8,0,0
2,2026-09-04T23:25:36.849,30520,msedgewebview2.exe,130.1,133.1,0.48,3
2,2026-09-04T23:25:36.849,29844,msedgewebview2.exe,38.2,12.1,0,0
2,2026-09-04T23:25:36.849,24024,msedgewebview2.exe,20,8.5,0,0
2,2026-09-04T23:25:36.849,27240,msedgewebview2.exe,126.5,75,0,0
2,2026-09-04T23:25:36.849,27924,msedgewebview2.exe,23.9,8.8,0,0
2,2026-09-04T23:25:36.849,0,__TOTAL__,569.4,303.4,0.48,3
3,2026-09-04T23:25:37.840,29852,vera-media-manager.exe,96.1,27,0,0
3,2026-09-04T23:25:37.840,21952,msedgewebview2.exe,121.8,36,0,0
3,2026-09-04T23:25:37.840,26536,msedgewebview2.exe,12.8,2.8,0,0
3,2026-09-04T23:25:37.840,30520,msedgewebview2.exe,129.9,133,0.49,2
3,2026-09-04T23:25:37.840,29844,msedgewebview2.exe,38.2,12.1,0,0
3,2026-09-04T23:25:37.840,24024,msedgewebview2.exe,20,8.5,0,0
3,2026-09-04T23:25:37.840,27240,msedgewebview2.exe,126.7,75.2,0,0
3,2026-09-04T23:25:37.840,27924,msedgewebview2.exe,23.9,8.8,0,0
3,2026-09-04T23:25:37.840,0,__TOTAL__,569.4,303.4,0.49,2
4,2026-09-04T23:25:38.849,29852,vera-media-manager.exe,96.1,27,0,0
4,2026-09-04T23:25:38.849,21952,msedgewebview2.exe,121.8,36,0,0
4,2026-09-04T23:25:38.849,26536,msedgewebview2.exe,12.8,2.8,0,0
4,2026-09-04T23:25:38.849,30520,msedgewebview2.exe,129.9,133,1.06,2
4,2026-09-04T23:25:38.849,29844,msedgewebview2.exe,38.2,12.1,0,0
4,2026-09-04T23:25:38.849,24024,msedgewebview2.exe,20,8.5,0,0
4,2026-09-04T23:25:38.849,27240,msedgewebview2.exe,126.7,75.2,0.39,0
4,2026-09-04T23:25:38.849,27924,msedgewebview2.exe,23.9,8.8,0,0
4,2026-09-04T23:25:38.849,0,__TOTAL__,569.4,303.4,1.45,2
5,2026-09-04T23:25:39.838,29852,vera-media-manager.exe,96.1,27,0,0
5,2026-09-04T23:25:39.838,21952,msedgewebview2.exe,121.8,36,0,0
5,2026-09-04T23:25:39.838,26536,msedgewebview2.exe,12.8,2.8,0,0
5,2026-09-04T23:25:39.838,30520,msedgewebview2.exe,129.9,133,0.89,2
5,2026-09-04T23:25:39.838,29844,msedgewebview2.exe,38.2,12.1,0,0
5,2026-09-04T23:25:39.838,24024,msedgewebview2.exe,20,8.5,0,0
5,2026-09-04T23:25:39.838,27240,msedgewebview2.exe,126.6,75.1,0.69,0
5,2026-09-04T23:25:39.838,27924,msedgewebview2.exe,23.9,8.8,0,0
5,2026-09-04T23:25:39.838,0,__TOTAL__,569.3,303.3,1.58,2
6,2026-09-04T23:25:40.840,29852,vera-media-manager.exe,96.1,27,0,0
6,2026-09-04T23:25:40.840,21952,msedgewebview2.exe,121.8,36,0,0
6,2026-09-04T23:25:40.840,26536,msedgewebview2.exe,12.8,2.8,0,0
6,2026-09-04T23:25:40.840,30520,msedgewebview2.exe,130,133.1,0.88,2
6,2026-09-04T23:25:40.840,29844,msedgewebview2.exe,38.2,12.1,0,0
6,2026-09-04T23:25:40.840,24024,msedgewebview2.exe,20,8.5,0,0
6,2026-09-04T23:25:40.840,27240,msedgewebview2.exe,126.6,75.1,0.49,0
6,2026-09-04T23:25:40.840,27924,msedgewebview2.exe,23.9,8.8,0,0
6,2026-09-04T23:25:40.840,0,__TOTAL__,569.4,303.4,1.37,2
7,2026-09-04T23:25:41.839,29852,vera-media-manager.exe,96.1,27,0,0
7,2026-09-04T23:25:41.839,21952,msedgewebview2.exe,121.8,36,0,0
7,2026-09-04T23:25:41.839,26536,msedgewebview2.exe,12.8,2.8,0,0
7,2026-09-04T23:25:41.839,30520,msedgewebview2.exe,129.9,133,1.07,2
7,2026-09-04T23:25:41.839,29844,msedgewebview2.exe,38.2,12.1,0,0
7,2026-09-04T23:25:41.839,24024,msedgewebview2.exe,20,8.5,0,0
7,2026-09-04T23:25:41.839,27240,msedgewebview2.exe,126.6,75.1,0.59,0
7,2026-09-04T23:25:41.839,27924,msedgewebview2.exe,23.9,8.8,0,0
7,2026-09-04T23:25:41.839,0,__TOTAL__,569.3,303.3,1.66,2
8,2026-09-04T23:25:42.838,29852,vera-media-manager.exe,96.1,27,0,0
8,2026-09-04T23:25:42.838,21952,msedgewebview2.exe,121.8,36,0,0
8,2026-09-04T23:25:42.838,26536,msedgewebview2.exe,12.8,2.8,0,0
8,2026-09-04T23:25:42.838,30520,msedgewebview2.exe,130,133,0.59,2
8,2026-09-04T23:25:42.838,29844,msedgewebview2.exe,38.2,12.1,0,0
8,2026-09-04T23:25:42.838,24024,msedgewebview2.exe,20,8.5,0,0
8,2026-09-04T23:25:42.838,27240,msedgewebview2.exe,126.7,75.2,0.88,0
8,2026-09-04T23:25:42.838,27924,msedgewebview2.exe,23.9,8.8,0,0
8,2026-09-04T23:25:42.838,0,__TOTAL__,569.5,303.4,1.47,2
9,2026-09-04T23:25:43.837,29852,vera-media-manager.exe,96.1,27,0,0
9,2026-09-04T23:25:43.837,21952,msedgewebview2.exe,121.8,36,0,0
9,2026-09-04T23:25:43.837,26536,msedgewebview2.exe,12.8,2.8,0,0
9,2026-09-04T23:25:43.837,30520,msedgewebview2.exe,130,133,0.29,2
9,2026-09-04T23:25:43.837,29844,msedgewebview2.exe,38.2,12.1,0,0
9,2026-09-04T23:25:43.837,24024,msedgewebview2.exe,20,8.5,0,0
9,2026-09-04T23:25:43.837,27240,msedgewebview2.exe,126.5,75,0.29,0
9,2026-09-04T23:25:43.837,27924,msedgewebview2.exe,23.9,8.8,0,0
9,2026-09-04T23:25:43.837,0,__TOTAL__,569.3,303.2,0.58,2
10,2026-09-04T23:25:44.838,29852,vera-media-manager.exe,96.1,27,0,0
10,2026-09-04T23:25:44.838,21952,msedgewebview2.exe,121.9,36,0,0
10,2026-09-04T23:25:44.838,26536,msedgewebview2.exe,12.8,2.8,0,0
10,2026-09-04T23:25:44.838,30520,msedgewebview2.exe,130,133,0,2
10,2026-09-04T23:25:44.838,29844,msedgewebview2.exe,38.2,12.1,0,0
10,2026-09-04T23:25:44.838,24024,msedgewebview2.exe,20,8.5,0,0
10,2026-09-04T23:25:44.838,27240,msedgewebview2.exe,126.5,75,0,0
10,2026-09-04T23:25:44.838,27924,msedgewebview2.exe,23.9,8.8,0,0
10,2026-09-04T23:25:44.838,0,__TOTAL__,569.4,303.2,0,2
11,2026-09-04T23:25:45.831,29852,vera-media-manager.exe,96.1,27,0,0
11,2026-09-04T23:25:45.831,21952,msedgewebview2.exe,121.9,36,0,0
11,2026-09-04T23:25:45.831,26536,msedgewebview2.exe,12.8,2.8,0,0
11,2026-09-04T23:25:45.831,30520,msedgewebview2.exe,147.8,151,0,2
11,2026-09-04T23:25:45.831,29844,msedgewebview2.exe,38.2,12.1,0,0
11,2026-09-04T23:25:45.831,24024,msedgewebview2.exe,20,8.5,0,0
11,2026-09-04T23:25:45.831,27240,msedgewebview2.exe,125.2,73.8,0.1,0
11,2026-09-04T23:25:45.831,27924,msedgewebview2.exe,23.9,8.8,0,0
11,2026-09-04T23:25:45.831,0,__TOTAL__,585.9,320,0.1,2
12,2026-09-04T23:25:46.840,29852,vera-media-manager.exe,96.1,27,0,0
12,2026-09-04T23:25:46.840,21952,msedgewebview2.exe,121.9,36,0,0
12,2026-09-04T23:25:46.840,26536,msedgewebview2.exe,12.8,2.8,0,0
12,2026-09-04T23:25:46.840,30520,msedgewebview2.exe,147.9,151,0,2
12,2026-09-04T23:25:46.840,29844,msedgewebview2.exe,38.2,12.1,0,0
12,2026-09-04T23:25:46.840,24024,msedgewebview2.exe,20,8.5,0,0
12,2026-09-04T23:25:46.840,27240,msedgewebview2.exe,125.3,73.7,0,0
12,2026-09-04T23:25:46.840,27924,msedgewebview2.exe,23.9,8.8,0,0
12,2026-09-04T23:25:46.840,0,__TOTAL__,586.1,319.9,0,2
13,2026-09-04T23:25:47.835,29852,vera-media-manager.exe,96.1,27,0,0
13,2026-09-04T23:25:47.835,21952,msedgewebview2.exe,121.9,36,0,0
13,2026-09-04T23:25:47.835,26536,msedgewebview2.exe,12.8,2.8,0,0
13,2026-09-04T23:25:47.835,30520,msedgewebview2.exe,147.9,151,0,2
13,2026-09-04T23:25:47.835,29844,msedgewebview2.exe,38.2,12.1,0,0
13,2026-09-04T23:25:47.835,24024,msedgewebview2.exe,20,8.5,0,0
13,2026-09-04T23:25:47.835,27240,msedgewebview2.exe,125.2,73.7,0,0
