tick,ts,pid,name,wsMB,privMB,cpuPct,gpuPct
1,2026-09-05T00:03:46.654,26468,wallpaper64.exe,142.7,191.3,0,3
1,2026-09-05T00:03:46.654,11220,PotPlayerMini64.exe,78.7,194.5,0,0
1,2026-09-05T00:03:46.654,0,__TOTAL__,221.4,385.8,0,3
2,2026-09-05T00:03:47.651,26468,wallpaper64.exe,142.7,191.5,0.29,3
2,2026-09-05T00:03:47.651,11220,PotPlayerMini64.exe,78.7,194.5,0.2,0
2,2026-09-05T00:03:47.651,0,__TOTAL__,221.4,386,0.49,3
3,2026-09-05T00:03:48.653,26468,wallpaper64.exe,142.7,191.5,0.1,3
3,2026-09-05T00:03:48.653,11220,PotPlayerMini64.exe,78.7,194.5,0.29,0
3,2026-09-05T00:03:48.653,0,__TOTAL__,221.4,386,0.39,3
4,2026-09-05T00:03:49.653,26468,wallpaper64.exe,143.2,192.3,0,3
4,2026-09-05T00:03:49.653,11220,PotPlayerMini64.exe,78.7,194.5,0,0
4,2026-09-05T00:03:49.653,0,__TOTAL__,221.9,386.8,0,3
5,2026-09-05T00:03:50.656,26468,wallpaper64.exe,143.2,192.5,0,3
5,2026-09-05T00:03:50.656,11220,PotPlayerMini64.exe,78.7,194.5,0.29,0
5,2026-09-05T00:03:50.656,0,__TOTAL__,221.9,387,0.29,3
6,2026-09-05T00:03:51.662,26468,wallpaper64.exe,143.2,192.5,0.48,3
6,2026-09-05T00:03:51.662,11220,PotPlayerMini64.exe,78.7,194.5,0.19,0
6,2026-09-05T00:03:51.662,0,__TOTAL__,221.9,387,0.67,3
7,2026-09-05T00:03:52.655,26468,wallpaper64.exe,141.5,190.1,0.59,3
7,2026-09-05T00:03:52.655,11220,PotPlayerMini64.exe,78.7,194.5,0.2,0
7,2026-09-05T00:03:52.655,0,__TOTAL__,220.2,384.6,0.79,3
8,2026-09-05T00:03:53.685,26468,wallpaper64.exe,141.5,190.1,0.19,1
8,2026-09-05T00:03:53.685,11220,PotPlayerMini64.exe,78.7,194.5,0,0
8,2026-09-05T00:03:53.685,0,__TOTAL__,220.2,384.6,0.19,1
9,2026-09-05T00:03:54.676,26468,wallpaper64.exe,143.9,192.5,0.49,3
9,2026-09-05T00:03:54.676,11220,PotPlayerMini64.exe,78.7,194.5,0.49,0
9,2026-09-05T00:03:54.676,0,__TOTAL__,222.6,387,0.98,3
10,2026-09-05T00:03:55.678,26468,wallpaper64.exe,143.9,192.5,0.39,3
10,2026-09-05T00:03:55.678,11220,PotPlayerMini64.exe,78.7,194.5,0.1,0
10,2026-09-05T00:03:55.678,0,__TOTAL__,222.6,387,0.49,3
11,2026-09-05T00:03:56.683,26468,wallpaper64.exe,143.9,192.5,0.1,3
11,2026-09-05T00:03:56.683,11220,PotPlayerMini64.exe,78.7,194.5,0.1,0
11,2026-09-05T00:03:56.683,0,__TOTAL__,222.6,387,0.2,3
12,2026-09-05T00:03:57.679,26468,wallpaper64.exe,142.1,191,0,3
12,2026-09-05T00:03:57.679,11220,PotPlayerMini64.exe,78.7,194.5,0,0
12,2026-09-05T00:03:57.679,0,__TOTAL__,220.8,385.5,0,3
13,2026-09-05T00:03:58.679,26468,wallpaper64.exe,144.1,193.3,0.29,3
13,2026-09-05T00:03:58.679,11220,PotPlayerMini64.exe,78.7,194.5,0.2,0
13,2026-09-05T00:03:58.679,0,__TOTAL__,222.8,387.8,0.49,3
14,2026-09-05T00:03:59.680,26468,wallpaper64.exe,144.1,193.2,1.17,3
14,2026-09-05T00:03:59.680,11220,PotPlayerMini64.exe,78.7,194.5,0,0
14,2026-09-05T00:03:59.680,0,__TOTAL__,222.8,387.7,1.17,3
15,2026-09-05T00:04:00.677,26468,wallpaper64.exe,144.1,193.2,0.69,3
15,2026-09-05T00:04:00.677,11220,PotPlayerMini64.exe,78.7,194.5,0.1,0
15,2026-09-05T00:04:00.677,0,__TOTAL__,222.8,387.7,0.79,3
16,2026-09-05T00:04:01.682,26468,wallpaper64.exe,142.3,190.9,0.29,3
16,2026-09-05T00:04:01.682,11220,PotPlayerMini64.exe,78.7,194.5,0.39,0
16,2026-09-05T00:04:01.682,0,__TOTAL__,221,385.4,0.68,3
17,2026-09-05T00:04:02.673,26468,wallpaper64.exe,142.3,190.9,0.39,3
17,2026-09-05T00:04:02.673,11220,PotPlayerMini64.exe,78.7,194.5,0.1,0
17,2026-09-05T00:04:02.673,0,__TOTAL__,221,385.4,0.49,3
18,2026-09-05T00:04:03.677,26468,wallpaper64.exe,142.3,190.9,0,3
18,2026-09-05T00:04:03.677,11220,PotPlayerMini64.exe,78.7,194.5,0,0
18,2026-09-05T00:04:03.677,0,__TOTAL__,221,385.4,0,3
19,2026-09-05T00:04:04.682,26468,wallpaper64.exe,144.4,193.3,0.29,3
19,2026-09-05T00:04:04.682,11220,PotPlayerMini64.exe,78.7,194.5,0,0
19,2026-09-05T00:04:04.682,0,__TOTAL__,223.1,387.8,0.29,3
20,2026-09-05T00:04:05.673,26468,wallpaper64.exe,144.4,193.3,0.2,3
20,2026-09-05T00:04:05.673,11220,PotPlayerMini64.exe,78.7,194.5,0,0
20,2026-09-05T00:04:05.673,0,__TOTAL__,223.1,387.8,0.2,3
21,2026-09-05T00:04:06.678,26468,wallpaper64.exe,144.4,193.3,0.1,3
21,2026-09-05T00:04:06.678,11220,PotPlayerMini64.exe,78.7,194.5,0,0
21,2026-09-05T00:04:06.678,0,__TOTAL__,223.1,387.8,0.1,3
